Brand,State,City,Address,Phone,lat,long,year,Website
Lux Row,Kentucky,Bardstown,3050 E John Rowan Blvd ,-,37.81024,-85.4234,2018,"<a href=""https://luxrowdistillers.com/"" target=""_blank"">Website</a>"
O.Z. Tyler,Kentucky,Owensboro,10 Distillery Road,(270) 691-9001,37.77627,-87.14022,2016,"<a href=""https://oztylerdistillery.com/"" target=""_blank"">Website</a>"
Dueling Grounds Distillery,Kentucky,Franklin,208 Franklin Bypass,-,36.70631,-86.57219,2015,"<a href=""https://www.duelinggroundsdistillery.com"" target=""_blank"">Website</a>"
Casey Jones,Kentucky,Hopkinsville,2815 Witty Lane,-,36.91323,-87.55703,2015,"<a href=""https://www.caseyjonesdistillery.com/"" target=""_blank"">Website</a>"
Rock Castle,Kentucky,Lexington,1200 Manchester Street,-,38.05601,-84.51887,2015,"<a href=""https://www.barrelhousedistillery.com/products/"" target=""_blank"">Website</a>"
Boundary Oak,Kentucky,Radcliff,2000 Boundary Oak Drive,-,37.8193,-85.91301,2014,"<a href=""http://boundaryoakdistillery.com/"">Website</a>"
Rabbit Hole,Kentucky,Louisville,711 E Jefferson Street,(502) 561-2000,38.25237,-85.73969,2014,"<a href=""https://www.rabbitholedistillery.com/story/"" target=""_blank"">Website</a>"
Wilderness Trail,Kentucky,Danville,4095 Lebanon Road,(859) 402-8707,37.61927,-84.82634,2013,"<a href=""http://wildernesstraildistillery.com/"">Website</a>"
Town Branch,Kentucky,Lexington,401 Cross Street,(859) 255-2337,38.04986,-84.50957,2012,"<a href=""https://www.lexingtonbrewingco.com/town-branch/"" target=""_blank"">Website</a>"
Angel's Envy,Kentucky,Louisville,500 East Main Street,(502) 890-6300,38.25374,-85.72569,2012,"<a href=""https://www.angelsenvy.com/"" target=""_blank"">Website</a>"
Second Sight Spirits,Kentucky,Ludlow,301 Elm Street,(859) 488-7866,39.09337,-84.54841,2012,"<a href=""https://www.secondsightspirits.com/"" target=""_blank"">Website</a>"
MB Roland Distillery,Kentucky,Pembroke,137 Bakers Mill Road,(270)640-7744,38.31163,-84.77971,2009,"<a href=""http://mbroland.com/"" target=""_blank"">Website</a>"
Corsair Artisan,Kentucky,Bowling Green,"400 E Main Ave, Suite 110",-,36.99377,-86.4412,2008,"<a href=""https://www.corsairdistillery.com/"" target=""_blank"">Website</a>"
Kentucky Artisan Distillery,Kentucky,Crestwood,6231 Old Lagrange Road,-,38.33623,-85.46328,2000,"<a href=""https://kentuckyartisandistillery.com/"" target=""_blank"">Website</a>"
Bulleit,Kentucky,Louisville,3860 Fitzgerald Road,(502) 475-3325,38.212891,-85.806778,1999,"<a href=""https://www.bulleit.com/"" rel=""noopener noreferrer"" target=""_blank"">Website</a>"
Jefferson's Bourbon,Kentucky,Crestwood,6230 Old Lagrange Road,(502) 822-3042,38.33623,-85.46328,1997,"<a href=""https://jeffersonsbourbon.com/"" target=""_blank"">Website</a>"
Woodford Reserve,Kentucky,Versailles,7855 McCracken Pike,(859) 879-1812,38.1131,-84.81087,1996,"<a href=""https://www.woodfordreserve.com/"" target=""_blank"">Website</a>"
Evan Williams,Kentucky,Louisville,528 West Main Street,(502) 272-2623,38.25677,-85.75946,1957,"<a href=""https://evanwilliams.com/"" target=""_blank"">Website</a>"
Maker's Mark,Kentucky,Loretto,3350 Burks Spring Road,-,38.25763,-85.22797,1953,"<a href=""https://www.makersmark.com/"" target=""_blank"">Website</a>"
Mitcher's,Kentucky,Louisville,801 West Main Street,(502) 389-4290,38.25769,-85.76325,1950,"<a href=""https://michters.com"" target=""_blank"">Website</a>"
Preservation Distillery,Kentucky,Bardstown,426 Sutherland Road,(502) 348-7779,37.78696,-85.49263,1949,"<a href=""https://www.preservationdistillery.com"" target=""_blank"">Website</a>"
Barton,Kentucky,Bardstown,300 Barton Rd,-,36.83737,-84.15951,1944,"<a href=""https://1792distillery.com"" target=""_blank"">Website</a>"
Wild Turkey,Kentucky,Lawrenceburg,1417 Versailles Road,-,38.06726,-84.73709,1940,"<a href=""https://wildturkeybourbon.com"" target=""_blank"">Website</a>"
Willett,Kentucky,Bardstown,1869 Loretto Road,(502) 348-0899,37.78527,-85.45999,1936,"<a href=""https://www.kentuckybourbonwhiskey.com"" target=""_blank"">Website</a>"
Old Pogue Distillery,Kentucky,Maysville,716 W. 2nd Street,-,38.66201,-83.77933,1935,"<a href=""https://www.oldpogue.com"" target=""_blank"">Website</a>"
Jim Beam,Kentucky,Clermont,568 Happy Hollow Road,(502) 215-2295,36.62714,-83.69311,1933,"<a href=""https://www.jimbeam.com"" target=""_blank"">Website</a>"
Four Roses,Kentucky,Lawrenceburg,1224 Bonds Mill Road,-,37.97226,-84.89967,1933,"<a href=""https://fourrosesbourbon.com"" target=""_blank"">Website</a>"
Buffalo Trace,Kentucky,Frankfort,113 Great Buffalo Trace,-,38.21681,-84.87037,1933,"<a href=""www.buffalotrace.com"" target=""_blank"">Website</a>"
Old Forester,Kentucky,Louisville,119 West Main Street,(502) 779-2222,38.25659,-85.75245,1933,"<a href=""https://www.oldforester.com"" target=""_blank"">Website</a>"
Hartfield & Co.,Kentucky,Paris,320 Pleasant Street,-,39.07696,-84.50253,1933,"<a href=""https://www.hartfieldandcompany.com/"" target=""_blank"">Website</a>"
